               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.026586,            0.010601,            0.024833,             0.61935,             0.90241,             0.85234,             0.41197,            0.028942,           0.0041079,            0.011708,           0.0085348,           0.0085348,           0.0085348
                  76,            0.037783,           0.0097688,            0.023772,             0.91455,             0.90809,             0.93923,             0.67377,            0.017992,            0.003883,             0.01134,            0.008515,            0.008515,            0.008515
                  77,            0.030469,            0.010985,            0.026054,             0.60113,             0.84101,             0.83767,              0.5816,            0.025455,           0.0039605,            0.011188,           0.0084952,           0.0084952,           0.0084952
                  78,            0.036956,            0.011372,            0.025646,             0.94206,             0.91858,             0.94504,             0.67103,            0.022616,           0.0039772,            0.010428,           0.0084754,           0.0084754,           0.0084754
                  79,            0.035673,            0.010324,            0.024314,             0.90586,             0.94407,             0.93811,             0.48831,            0.022414,           0.0039499,           0.0099897,           0.0084556,           0.0084556,           0.0084556
                  80,             0.03322,            0.010697,             0.02423,              0.9263,             0.86679,             0.92228,             0.69247,            0.016619,           0.0039481,           0.0096275,           0.0084358,           0.0084358,           0.0084358
                  81,            0.034165,           0.0090076,            0.024597,             0.74491,             0.94758,             0.87898,              0.4962,            0.025593,           0.0039821,           0.0091411,            0.008416,            0.008416,            0.008416
                  82,            0.027696,           0.0097664,            0.023379,             0.90476,             0.94128,             0.95404,             0.71653,            0.017643,           0.0039728,           0.0088833,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032427,            0.010333,             0.02398,             0.79088,              0.9155,             0.93648,             0.57718,            0.021822,           0.0040284,           0.0091953,           0.0083764,           0.0083764,           0.0083764
                  84,            0.031189,           0.0091564,            0.022175,             0.92748,             0.91128,             0.94528,              0.7227,            0.016199,            0.003996,           0.0089347,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032763,            0.010757,            0.024716,             0.75109,             0.93595,             0.90585,             0.38548,             0.02706,           0.0040075,           0.0094918,           0.0083368,           0.0083368,           0.0083368
                  86,            0.033894,             0.01021,            0.022356,             0.88616,             0.92857,             0.94865,             0.78408,            0.014304,           0.0038904,           0.0093904,            0.008317,            0.008317,            0.008317
                  87,            0.030088,            0.009969,            0.021909,             0.84285,             0.92559,             0.91811,             0.43547,            0.028409,            0.004099,           0.0098504,           0.0082972,           0.0082972,           0.0082972
                  88,            0.035511,            0.010284,            0.021618,             0.89858,             0.92973,             0.95107,             0.77305,            0.014866,           0.0038741,           0.0086875,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028409,           0.0098036,            0.022001,             0.75386,             0.84481,             0.91514,             0.75626,            0.019323,           0.0039781,           0.0089484,           0.0082576,           0.0082576,           0.0082576
                  90,             0.02578,           0.0088052,            0.018469,             0.91395,             0.87781,             0.94761,             0.67439,            0.020323,           0.0040114,           0.0083474,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030948,           0.0080717,            0.017803,             0.93282,             0.94948,             0.95761,             0.81917,            0.012349,           0.0037307,           0.0069279,            0.008218,            0.008218,            0.008218
                  92,            0.028088,           0.0093464,            0.022406,              0.9386,             0.92886,             0.96238,             0.70961,             0.01866,           0.0038333,            0.007058,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028406,           0.0093922,            0.020405,             0.94002,             0.92718,             0.97365,             0.77156,            0.016179,           0.0038824,           0.0070671,           0.0081784,           0.0081784,           0.0081784
                  94,            0.029225,           0.0095879,            0.020812,             0.93265,              0.9159,             0.97056,             0.71531,            0.019149,           0.0039002,           0.0069653,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028632,           0.0098359,            0.021784,             0.93875,             0.92521,              0.9553,             0.67929,            0.017978,           0.0039245,           0.0070667,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029114,            0.010334,            0.021174,             0.92701,              0.9303,             0.96347,             0.73922,            0.018462,           0.0038816,            0.006724,            0.008119,            0.008119,            0.008119
